Image,Predicted Animal,Predicted Behavior,Predicted Place,Predicted Time,Prediction Sentence
cow_crea_loriaz1900_2019-09-01_17-46-44_r26_crop2.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz1900_2019-09-04_17-13-49_r10_crop1.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2019-09-04_17-15-28_r6_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2019-09-08_16-14-33_r3_crop0.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2100Ouest_2018-09-07_17-35-59_r14_crop0.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
cow_crea_loriaz2100Ouest_2018-09-23_08-42-53_r1_crop0.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2018-09-25_16-08-05_r4_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-10_06-59-44_r10_crop0.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-16_19-39-55_r2_crop5.jpg,goat,eating,the field,day,The goat is eating in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-16_20-03-14_r8_crop4.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-16_20-05-30_r1_crop2.jpg,cow,resting,the hill,day,The cow is resting on the hill in the day time
cow_crea_loriaz2100Ouest_2019-07-24_06-58-39_r14_crop7.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-07-24_07-09-14_r1_crop5.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-07-24_07-10-36_r11_crop3.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-07-24_07-12-10_r2_crop0.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-07-24_07-13-23_r2_crop2.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-24_07-14-40_r19_crop4.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-27_11-48-37_r3_crop2.jpg,sheep,eating,the forrest,day,The sheep is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-07-27_11-48-55_r6_crop1.jpg,cow,moving,the hill,day,The cow is moving on the hill in the day time
cow_crea_loriaz2100Ouest_2019-07-27_11-49-03_r3_crop7.jpg,cow,moving,the field,day,The cow is moving in the field in the day time
cow_crea_loriaz2100Ouest_2019-07-27_11-49-08_r4_crop4.jpg,cow,resting,the hill,day,The cow is resting on the hill in the day time
cow_crea_loriaz2100Ouest_2019-08-10_12-19-12_r6_crop5.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
cow_crea_loriaz2100Ouest_2019-08-17_16-16-17_r3_crop2.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-08-17_16-19-50_r4_crop1.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-08-23_07-46-42_r2_crop2.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-08-23_07-47-50_r28_crop4.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2100Ouest_2019-08-23_07-53-26_r9_crop8.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2100Ouest_2019-08-23_07-58-34_r12_crop0.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2100Ouest_2019-08-30_16-38-30_r2_crop10.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2100Ouest_2019-08-30_16-38-56_r18_crop3.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz2100_2018-08-28_17-36-36_r4_crop2.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2100_2018-08-28_17-37-04_r2_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz2300Ouest_2019-09-05_16-47-30_r1_crop1.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2300Ouest_2019-09-05_17-39-52_r5_crop1.jpg,cow,resting,the field,night,The cow is resting in the field in the night time
cow_crea_loriaz2300Ouest_2019-09-05_17-41-15_r9_crop2.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2300Ouest_2019-09-05_17-43-18_r2_crop4.jpg,cow,eating,the hill,night,The cow is eating on the hill in the night time
cow_crea_loriaz2300Ouest_2019-09-06_07-18-05_r2_crop1.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz2300Ouest_2019-09-06_07-20-23_r9_crop2.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2300Ouest_2019-09-06_18-17-39_r2_crop0.jpg,cow,moving,the hill,day,The cow is moving on the hill in the day time
cow_crea_loriaz2300Ouest_2019-09-07_09-54-22_r6_crop1.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz2300Ouest_2019-09-11_17-20-45_r3_crop2.jpg,cow,eating,the hill,day,The cow is eating on the hill in the day time
cow_crea_loriaz2300Ouest_2019-09-11_17-25-32_r10_crop0.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
cow_crea_loriaz2300Ouest_2019-09-11_18-27-16_r9_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
goat_crea_blaitiere1700_2018-08-07_14-10-27_r2_crop0.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-10-53_r10_crop0.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-11-06_r1_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-12-19_r1_crop0.jpg,goat,resting,the forrest,day,The goat is resting in the forrest in the day time
goat_crea_blaitiere1700_2018-08-07_14-12-41_r12_crop0.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2018-08-07_14-12-45_r13_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-13-03_r1_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-13-17_r9_crop4.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-13-58_r15_crop4.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1700_2018-08-07_14-15-28_r2_crop5.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1700_2018-08-07_14-15-37_r9_crop4.jpg,cow,moving,the forrest,night,The cow is moving in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-15-49_r16_crop8.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-07_14-16-02_r1_crop4.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
goat_crea_blaitiere1700_2018-08-07_14-16-20_r11_crop6.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-18-23_r12_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-18-49_r26_crop2.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-18-58_r31_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-19-10_r4_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-19-46_r17_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-19-46_r18_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-19-50_r19_crop4.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-20-05_r4_crop4.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-20-05_r6_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-20-13_r10_crop2.jpg,sheep,eating,the forrest,day,The sheep is eating in the forrest in the day time
goat_crea_blaitiere1700_2018-08-23_09-20-31_r15_crop12.jpg,goat,moving,the forrest,night,The goat is moving in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-20-35_r17_crop9.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1700_2018-08-23_09-20-35_r18_crop7.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-23_09-20-40_r20_crop7.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2018-08-23_09-21-00_r1_crop4.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2018-08-23_09-21-16_r11_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-24_09-56-23_r1_crop0.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2018-08-24_09-56-46_r17_crop3.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1700_2018-08-24_09-56-46_r18_crop2.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-06_16-53-17_r9_crop0.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-39_r1_crop5.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-39_r3_crop4.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-48_r7_crop7.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-52_r10_crop5.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-57_r14_crop6.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-07-57_r14_crop9.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-08-09_r9_crop11.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-07_16-08-09_r9_crop8.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1700_2019-07-07_16-08-13_r11_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-08-48_r27_crop3.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-08-48_r27_crop7.jpg,goat,resting,the forrest,day,The goat is resting in the forrest in the day time
goat_crea_blaitiere1700_2019-07-07_16-08-52_r29_crop8.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-08-57_r33_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-07_16-08-57_r33_crop8.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-27_r1_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-36_r7_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-40_r10_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-44_r14_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-48_r16_crop3.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-53_r20_crop5.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-09_13-05-53_r21_crop5.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-05-57_r22_crop4.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-09_13-05-57_r24_crop4.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-06-01_r1_crop0.jpg,goat,resting,the forrest,night,The goat is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-06-09_r9_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-07-54_r9_crop1.jpg,goat,moving,the forrest,night,The goat is moving in the forrest in the night time
goat_crea_blaitiere1700_2019-07-09_13-11-00_r1_crop2.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-24-32_r3_crop0.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-05_r6_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-17_r15_crop0.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-17_r15_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-45_r28_crop5.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-49_r31_crop3.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-27-53_r35_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-28-02_r1_crop1.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-28-08_r4_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-28-46_r20_crop3.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-28-54_r25_crop7.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-16_07-28-54_r26_crop3.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-16_07-28-58_r30_crop1.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1700_2019-07-16_07-29-06_r4_crop6.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-29-11_r7_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-29-16_r11_crop1.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
goat_crea_blaitiere1700_2019-07-16_07-29-20_r13_crop5.jpg,cow,moving,the forrest,night,The cow is moving in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-29-26_r16_crop6.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-29-34_r22_crop6.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-16_07-31-31_r5_crop1.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-21_08-26-47_r15_crop5.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
goat_crea_blaitiere1700_2019-07-27_07-00-24_r1_crop2.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
goat_crea_blaitiere1700_2019-07-27_07-00-57_r13_crop2.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1900_2020-08-06_10-03-40_r20_crop8.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
goat_crea_blaitiere1900_2020-08-06_10-04-03_r2_crop4.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
goat_crea_blaitiere1900_2020-08-06_10-04-20_r13_crop8.jpg,cow,eating,the field,night,The cow is eating in the field in the night time
goat_crea_blaitiere1900_2020-08-06_10-04-55_r34_crop5.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1900_2020-08-06_10-24-04_r2_crop3.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
goat_crea_blaitiere1900_2020-08-06_10-24-26_r9_crop1.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
goat_crea_blaitiere1900_2020-08-09_12-47-37_r6_crop1.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
goat_crea_blaitiere1900_2020-08-09_13-12-26_r6_crop7.jpg,goat,moving,the forrest,day,The goat is moving in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-26-32_r13_crop4.jpg,sheep,eating,the hill,night,The sheep is eating on the hill in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-26-42_r21_crop3.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-28-45_r6_crop11.jpg,cow,resting,the hill,day,The cow is resting on the hill in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-30-33_r10_crop5.jpg,sheep,resting,the hill,night,The sheep is resting on the hill in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-41-23_r9_crop4.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-42-23_r2_crop15.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-42-29_r4_crop17.jpg,sheep,eating,the forrest,day,The sheep is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-42-48_r11_crop11.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-42-52_r14_crop14.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-43-17_r9_crop8.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-44-17_r10_crop11.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-44-52_r21_crop10.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-45-03_r3_crop13.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-45-11_r8_crop15.jpg,sheep,eating,the hill,night,The sheep is eating on the hill in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-45-59_r19_crop23.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-46-47_r21_crop7.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-46-56_r25_crop2.jpg,cow,eating,the field,night,The cow is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-06_r5_crop5.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-24_r17_crop11.jpg,cow,eating,the field,night,The cow is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-33_r22_crop13.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-44_r26_crop12.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-48_r28_crop12.jpg,sheep,resting,the forrest,night,The sheep is resting in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-53_r31_crop10.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-47-58_r34_crop11.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-48-56_r11_crop12.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-51-18_r6_crop7.jpg,sheep,eating,the field,night,The sheep is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-51-42_r12_crop10.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-52-10_r2_crop20.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_12-52-23_r7_crop16.jpg,sheep,eating,the forrest,day,The sheep is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_12-52-33_r13_crop12.jpg,cow,resting,the forrest,night,The cow is resting in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_13-40-31_r3_crop16.jpg,sheep,moving,the hill,night,The sheep is moving on the hill in the night time
sheep_crea_peclerey1933Nord_2018-10-01_14-38-59_r3_crop14.jpg,cow,eating,the field,night,The cow is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_14-41-50_r1_crop18.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_15-36-01_r3_crop3.jpg,sheep,eating,the field,night,The sheep is eating in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_15-48-28_r8_crop9.jpg,goat,eating,the forrest,day,The goat is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_15-50-20_r9_crop16.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_15-56-30_r4_crop5.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_15-56-57_r19_crop13.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
sheep_crea_peclerey1933Nord_2018-10-01_15-57-51_r2_crop11.jpg,cow,resting,the hill,day,The cow is resting on the hill in the day time
sheep_crea_peclerey1933Nord_2018-10-01_15-59-00_r1_crop12.jpg,sheep,resting,the field,night,The sheep is resting in the field in the night time
sheep_crea_peclerey1933Nord_2018-10-01_16-01-14_r1_crop11.jpg,goat,eating,the forrest,night,The goat is eating in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_16-02-23_r1_crop12.jpg,cow,eating,the forrest,night,The cow is eating in the forrest in the night time
sheep_crea_peclerey1933Nord_2018-10-01_16-03-06_r5_crop13.jpg,sheep,eating,the forrest,day,The sheep is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_16-11-39_r3_crop9.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
sheep_crea_peclerey1933Nord_2018-10-01_16-14-26_r1_crop13.jpg,sheep,resting,the field,day,The sheep is resting in the field in the day time
